station,year,month,day,time,is_row_bad,Level,Battery
19160,2009,1,5,1200,0,9.98,11.9
19160,2009,1,5,1300,0,9.98,11.9
19160,2009,1,5,1400,0,9.98,11.9
19160,2009,1,5,1500,0,9.98,11.9
19160,2009,1,5,1600,0,9.98,11.9
19160,2009,1,5,1700,0,9.98,11.9
19160,2009,1,5,1800,0,9.98,11.7
19160,2009,1,5,1900,0,9.98,11.9
19160,2009,1,5,2000,0,9.98,11.9
19160,2009,1,5,2100,0,9.98,11.9
19160,2009,1,5,2200,0,9.98,11.8
19160,2009,1,5,2300,0,9.98,11.8
19160,2009,1,5,2400,0,9.98,11.8
19160,2009,1,6,100,0,9.98,11.8
19160,2009,1,6,200,0,9.98,11.8
19160,2009,1,6,300,0,9.98,11.8
19160,2009,1,6,400,0,9.98,11.8
19160,2009,1,6,500,0,9.98,11.8
19160,2009,1,6,600,0,9.98,11.7
19160,2009,1,6,700,0,9.98,11.8
19160,2009,1,6,800,0,9.98,11.8
19160,2009,1,6,900,0,9.98,11.8
19160,2009,1,6,1000,0,9.98,11.8
19160,2009,1,6,1100,0,9.98,11.8
19160,2009,1,6,1200,0,9.98,11.8
19160,2009,1,6,1300,0,9.98,11.8
19160,2009,1,6,1400,0,9.98,11.8
19160,2009,1,6,1500,0,9.98,11.8
19160,2009,1,6,1600,0,9.98,11.8
19160,2009,1,6,1700,0,9.98,11.8
19160,2009,1,6,1800,0,9.98,11.8
19160,2009,1,6,1900,0,9.98,11.8
19160,2009,1,6,2000,0,9.98,11.8
19160,2009,1,6,2100,0,9.98,11.8
19160,2009,1,6,2200,0,9.98,11.8
19160,2009,1,6,2300,0,9.98,11.8
19160,2009,1,6,2400,0,9.98,11.8
19160,2009,1,7,100,0,9.98,11.8
19160,2009,1,7,200,0,9.98,11.8
19160,2009,1,7,300,0,9.98,11.8
19160,2009,1,7,400,0,9.98,11.7
19160,2009,1,7,500,0,9.98,11.8
19160,2009,1,7,600,0,9.98,11.7
